order_id,payment_id,type,descriptions,pDate,Status,Details,Total_Invoice,Due_Amount
OD00000017,py00029559,online,Pay Second,02/04/2019,not received,,8436,4218
OD00000018,py00059290,refunded,Pay Third,01/01/2015,received,,4035,2017.5
OD00000018,py00000018,online,initial payments,03/01/2015,received,bank transfer,4035,2017.5
OD00000018,py00029560,online,Pay Second,02/04/2019,not received,,4035,2017.5
OD00000019,py00029561,cheque,Pay Second,02/04/2019,not received,,784,392
OD00000019,py00000019,online,initial payments,03/01/2015,received,bank transfer,784,392
OD00000020,py00000020,card transaction,initial payments,03/01/2015,received,,594,297
OD00000020,py00029562,cash transaction,Pay Second,02/04/2019,not received,,594,297
OD00000021,py00000021,online,initial payments,03/01/2015,received,bank transfer,6300,3150
OD00000021,py00029563,online,Pay Second,02/04/2019,not received,,6300,3150
OD00000022,py00009980,online,initial payments,02/04/2019,not received,bank transfer,4509,2254.5
OD00000022,py00000022,card transaction,initial payments,04/01/2015,received,,4509,2254.5
OD00000023,py00029564,card transaction,Pay Second,03/04/2019,received,,8414,4207
OD00000023,py00000023,card transaction,initial payments,04/01/2015,received,,8414,4207
OD00000024,py00029569,card transaction,Pay Second,03/04/2019,received,,9515,4757.5
OD00000024,py00000024,cheque,initial payments,04/01/2015,received,,9515,4757.5
OD00000025,py00009990,card transaction,initial payments,03/04/2019,received,,5040,2520
OD00000025,py00000025,cheque,initial payments,04/01/2015,received,,5040,2520
OD00000026,py00009991,online,initial payments,03/04/2019,received,bank transfer,2430,1215
OD00000026,py00000026,cash transaction,initial payments,04/01/2015,received,,2430,1215
OD00000027,py00009992,cash transaction,initial payments,03/04/2019,received,,5624,2812
OD00000027,py00000027,cash transaction,initial payments,05/01/2015,received,,5624,2812
OD00000028,py00000028,online,initial payments,05/01/2015,received,upi payment,2421,1210.5
OD00000028,py00009993,cash transaction,initial payments,03/04/2019,received,,2421,1210.5
OD00000029,py00000029,cheque,initial payments,05/01/2015,received,,490,245
OD00000029,py00009995,online,initial payments,03/04/2019,received,bank transfer,490,245
OD00000030,py00009996,cheque,initial payments,03/04/2019,received,,792,396
OD00000030,py00000030,cheque,initial payments,05/01/2015,received,,792,396
OD00000031,py00000031,card transaction,initial payments,05/01/2015,received,,3500,1750
OD00000031,py00029565,cash transaction,Pay Second,03/04/2019,not received,,3500,1750
OD00000032,py00029566,online,Pay Second,03/04/2019,not received,,3006,1503
OD00000032,py00000032,cheque,initial payments,05/01/2015,received,,3006,1503
OD00000033,py00000033,online,initial payments,06/01/2015,received,upi payment,7212,3606
OD00000033,py00029567,cheque,Pay Second,03/04/2019,not received,,7212,3606
OD00000034,py00000034,cash transaction,initial payments,06/01/2015,received,,9515,4757.5
OD00000034,py00029568,cheque,Pay Second,03/04/2019,not received,,9515,4757.5
OD00000035,py00000035,cash transaction,initial payments,06/01/2015,received,,3024,1512
OD00000035,py00029570,cheque,Pay Second,03/04/2019,not received,,3024,1512
OD00000036,py00000036,online,initial payments,06/01/2015,received,upi payment,1620,810
OD00000036,py00029571,cash transaction,Pay Second,03/04/2019,not received,,1620,810
OD00000037,py00000037,online,initial payments,07/01/2015,received,upi payment,4218,2109
OD00000037,py00009994,online,initial payments,03/04/2019,not received,bank transfer,4218,2109
OD00000038,py00000038,cheque,initial payments,07/01/2015,received,,2421,1210.5
OD00000038,py00009997,online,initial payments,03/04/2019,not received,bank transfer,2421,1210.5
OD00000039,py00000039,cash transaction,initial payments,07/01/2015,received,,686,343
OD00000039,py00009998,cash transaction,initial payments,04/04/2019,received,,686,343
OD00000040,py00009999,card transaction,initial payments,04/04/2019,received,,594,297
OD00000040,py00000040,card transaction,initial payments,08/01/2015,received,,594,297
OD00000041,py00000041,cash transaction,initial payments,08/01/2015,received,,4900,2450
OD00000041,py00010000,card transaction,initial payments,04/04/2019,received,,4900,2450
OD00000042,py00000042,online,initial payments,08/01/2015,received,upi payment,2004,1002
OD00000042,py00010002,cheque,initial payments,04/04/2019,received,,2004,1002
OD00000043,py00010003,cash transaction,initial payments,04/04/2019,received,,3606,1803
OD00000043,py00000043,cheque,initial payments,08/01/2015,received,,3606,1803
OD00000044,py00000044,online,initial payments,08/01/2015,received,upi payment,7612,3806
OD00000044,py00010004,cash transaction,initial payments,04/04/2019,received,,7612,3806
OD00000045,py00000045,cheque,initial payments,08/01/2015,received,,4032,2016
OD00000045,py00010005,cheque,initial payments,04/04/2019,received,,4032,2016
OD00000046,py00029572,cheque,Pay Second,04/04/2019,not received,,1215,607.5
OD00000046,py00000046,cheque,initial payments,09/01/2015,received,,1215,607.5
OD00000047,py00000047,cash transaction,initial payments,09/01/2015,received,,12654,6327
OD00000047,py00029573,cash transaction,Pay Second,04/04/2019,not received,,12654,6327
OD00000048,py00000048,cash transaction,initial payments,09/01/2015,received,,5649,2824.5
OD00000048,py00029574,cash transaction,Pay Second,04/04/2019,not received,,5649,2824.5
OD00000049,py00029575,card transaction,Pay Second,04/04/2019,not received,,490,245
OD00000049,py00000049,cash transaction,initial payments,10/01/2015,received,,490,245
OD00000050,py00000050,cash transaction,initial payments,10/01/2015,received,,396,198
OD00000050,py00029576,cash transaction,Pay Second,04/04/2019,not received,,396,198
OD00000051,py00010001,online,initial payments,04/04/2019,not received,bank transfer,2800,1400
OD00000051,py00000051,cheque,initial payments,10/01/2015,received,,2800,1400
OD00000052,py00029579,cheque,Pay Second,05/04/2019,received,,1002,501
OD00000052,py00000052,online,initial payments,10/01/2015,received,upi payment,1002,501
OD00000053,py00000053,cheque,initial payments,10/01/2015,received,,6010,3005
OD00000053,py00029580,cheque,Pay Second,05/04/2019,received,,6010,3005
OD00000054,py00029581,cheque,Pay Second,05/04/2019,received,,11418,5709
OD00000054,py00000054,card transaction,initial payments,11/01/2015,received,,11418,5709
OD00000055,py00000055,online,initial payments,11/01/2015,received,upi payment,3024,1512
OD00000055,py00010006,cash transaction,initial payments,05/04/2019,received,,3024,1512
OD00000056,py00010008,card transaction,initial payments,05/04/2019,received,,2430,1215
OD00000056,py00000056,cash transaction,initial payments,11/01/2015,received,,2430,1215
OD00000057,py00000057,cheque,initial payments,11/01/2015,received,,8436,4218
OD00000057,py00010009,card transaction,initial payments,05/04/2019,received,,8436,4218
OD00000058,py00010010,cash transaction,initial payments,05/04/2019,received,,6456,3228
OD00000058,py00000058,cheque,initial payments,12/01/2015,received,,6456,3228
OD00000059,py00010013,cash transaction,initial payments,05/04/2019,received,,588,294
OD00000059,py00000059,card transaction,initial payments,12/01/2015,received,,588,294
OD00000060,py00000060,card transaction,initial payments,12/01/2015,received,,495,247.5
OD00000060,py00010015,cash transaction,initial payments,05/04/2019,received,,495,247.5
OD00000061,py00000061,cash transaction,initial payments,12/01/2015,received,,3500,1750
OD00000061,py00010016,cash transaction,initial payments,05/04/2019,received,,3500,1750
OD00000062,py00010017,card transaction,initial payments,05/04/2019,received,,2505,1252.5
OD00000062,py00000062,cheque,initial payments,12/01/2015,received,,2505,1252.5
OD00000063,py00029577,card transaction,Pay Second,05/04/2019,not received,,7212,3606
OD00000063,py00000063,cash transaction,initial payments,13/01/2015,received,,7212,3606
OD00000064,py00029578,cash transaction,Pay Second,05/04/2019,not received,,9515,4757.5
OD00000064,py00000064,cheque,initial payments,13/01/2015,received,,9515,4757.5
OD00000065,py00000065,cash transaction,initial payments,13/01/2015,received,,2520,1260
OD00000065,py00010007,online,initial payments,05/04/2019,not received,bank transfer,2520,1260
OD00000066,py00000066,online,initial payments,14/01/2015,received,upi payment,3240,1620
OD00000066,py00010011,online,initial payments,05/04/2019,not received,bank transfer,3240,1620
OD00000067,py00000067,online,initial payments,14/01/2015,received,upi payment,8436,4218
OD00000067,py00010012,online,initial payments,05/04/2019,not received,bank transfer,8436,4218
OD00000068,py00000068,cheque,initial payments,14/01/2015,received,,4842,2421
OD00000068,py00010014,online,initial payments,05/04/2019,not received,bank transfer,4842,2421
OD00000069,py00000069,online,initial payments,15/01/2015,received,upi payment,196,98
OD00000069,py00029582,cheque,Pay Second,06/04/2019,received,,196,98
OD00000070,py00010018,cheque,initial payments,06/04/2019,received,,594,297
OD00000070,py00000070,card transaction,initial payments,15/01/2015,received,,594,297
OD00000071,py00000071,cash transaction,initial payments,15/01/2015,received,,3500,1750
OD00000071,py00010019,cheque,initial payments,06/04/2019,received,,3500,1750
OD00000072,py00000072,card transaction,initial payments,15/01/2015,received,,3006,1503
OD00000072,py00010020,card transaction,initial payments,06/04/2019,received,,3006,1503
OD00000073,py00000073,cheque,initial payments,15/01/2015,received,,2404,1202
OD00000073,py00010021,cheque,initial payments,06/04/2019,received,,2404,1202
OD00000074,py00010022,cash transaction,initial payments,06/04/2019,received,,15224,7612
OD00000074,py00000074,cash transaction,initial payments,15/01/2015,received,,15224,7612
OD00000075,py00010023,cheque,initial payments,06/04/2019,received,,2520,1260
OD00000075,py00000075,card transaction,initial payments,16/01/2015,received,,2520,1260
OD00000076,py00010024,card transaction,initial payments,06/04/2019,received,,4050,2025
OD00000076,py00000076,cheque,initial payments,16/01/2015,received,,4050,2025
OD00000077,py00000077,cash transaction,initial payments,16/01/2015,received,,2812,1406
OD00000077,py00010025,online,initial payments,06/04/2019,received,bank transfer,2812,1406
OD00000078,py00029583,cheque,Pay Second,06/04/2019,not received,,5649,2824.5
OD00000078,py00000078,online,initial payments,16/01/2015,received,upi payment,5649,2824.5
OD00000079,py00000079,card transaction,initial payments,16/01/2015,received,,588,294
OD00000079,py00029584,online,Pay Second,06/04/2019,not received,,588,294
OD00000080,py00000080,card transaction,initial payments,16/01/2015,received,,396,198
OD00000080,py00029585,online,Pay Second,06/04/2019,not received,,396,198
OD00000081,py00029586,online,Pay Second,06/04/2019,not received,,6300,3150
OD00000081,py00000081,cheque,initial payments,16/01/2015,received,,6300,3150
OD00000082,py00029587,card transaction,Pay Second,06/04/2019,not received,,3507,1753.5
OD00000082,py00000082,cash transaction,initial payments,16/01/2015,received,,3507,1753.5
OD00000083,py00029592,card transaction,Pay Second,07/04/2019,received,,4808,2404
OD00000083,py00000083,cash transaction,initial payments,16/01/2015,received,,4808,2404
OD00000084,py00010027,card transaction,initial payments,07/04/2019,received,,11418,5709
OD00000084,py00000084,online,initial payments,16/01/2015,received,bank transfer,11418,5709
OD00000085,py00000085,cash transaction,initial payments,16/01/2015,received,,2016,1008
OD00000085,py00010028,cash transaction,initial payments,07/04/2019,received,,2016,1008
OD00000086,py00010029,cheque,initial payments,07/04/2019,received,,2835,1417.5
OD00000086,py00000086,card transaction,initial payments,17/01/2015,received,,2835,1417.5
OD00000087,py00000087,cheque,initial payments,17/01/2015,received,,5624,2812
OD00000087,py00010030,online,initial payments,07/04/2019,received,bank transfer,5624,2812
OD00000088,py00010031,cheque,initial payments,07/04/2019,received,,7263,3631.5
OD00000088,py00000088,card transaction,initial payments,17/01/2015,received,,7263,3631.5
OD00000089,py00000089,cash transaction,initial payments,17/01/2015,received,,392,196
OD00000089,py00029588,cheque,Pay Second,07/04/2019,not received,,392,196
OD00000090,py00029589,cheque,Pay Second,07/04/2019,not received,,693,346.5
OD00000090,py00000090,card transaction,initial payments,17/01/2015,received,,693,346.5
OD00000091,py00000091,card transaction,initial payments,18/01/2015,received,,6300,3150
OD00000091,py00029590,online,Pay Second,07/04/2019,not received,,6300,3150
OD00000092,py00029591,cash transaction,Pay Second,07/04/2019,not received,,3006,1503
OD00000092,py00000092,card transaction,initial payments,18/01/2015,received,,3006,1503
OD00000093,py00000093,card transaction,initial payments,18/01/2015,received,,4808,2404
OD00000093,py00029593,cash transaction,Pay Second,07/04/2019,not received,,4808,2404
OD00000094,py00000094,cash transaction,initial payments,18/01/2015,received,,17127,8563.5
OD00000094,py00010026,online,initial payments,07/04/2019,not received,bank transfer,17127,8563.5
OD00000095,py00000095,cash transaction,initial payments,18/01/2015,received,,2016,1008
OD00000095,py00029594,card transaction,Pay Second,08/04/2019,received,,2016,1008
OD00000096,py00000096,cash transaction,initial payments,18/01/2015,received,,2835,1417.5
OD00000096,py00029595,card transaction,Pay Second,08/04/2019,received,,2835,1417.5
OD00000097,py00000097,cheque,initial payments,18/01/2015,received,,8436,4218
OD00000097,py00029596,cash transaction,Pay Second,08/04/2019,received,,8436,4218
OD00000098,py00010032,card transaction,initial payments,08/04/2019,received,,3228,1614
OD00000098,py00000098,online,initial payments,19/01/2015,received,bank transfer,3228,1614
OD00000099,py00000099,cash transaction,initial payments,19/01/2015,received,,980,490
OD00000099,py00010033,card transaction,initial payments,08/04/2019,received,,980,490
OD00000100,py00000100,online,initial payments,19/01/2015,received,bank transfer,495,247.5
OD00000100,py00010035,cash transaction,initial payments,08/04/2019,received,,495,247.5
OD00000101,py00029597,cash transaction,Pay Second,08/04/2019,not received,,3500,1750
OD00000101,py00000101,cheque,initial payments,19/01/2015,received,,3500,1750
OD00000102,py00000102,online,initial payments,20/01/2015,received,bank transfer,2004,1002
OD00000102,py00029598,cash transaction,Pay Second,08/04/2019,not received,,2004,1002
OD00000103,py00029599,cheque,Pay Second,08/04/2019,not received,,6010,3005
OD00000103,py00000103,card transaction,initial payments,20/01/2015,received,,6010,3005
OD00000104,py00000104,cash transaction,initial payments,20/01/2015,received,,11418,5709
OD00000104,py00010034,online,initial payments,08/04/2019,not received,bank transfer,11418,5709
OD00000105,py00000105,online,initial payments,20/01/2015,received,,4032,2016
OD00000105,py00029600,cheque,Pay Second,09/04/2019,received,,4032,2016
OD00000106,py00000106,cash transaction,initial payments,20/01/2015,received,,2430,1215
OD00000106,py00010036,cheque,initial payments,09/04/2019,received,,2430,1215
OD00000107,py00010038,card transaction,initial payments,09/04/2019,received,,12654,6327
OD00000107,py00000107,cash transaction,initial payments,20/01/2015,received,,12654,6327
OD00000108,py00010040,card transaction,initial payments,09/04/2019,received,,4842,2421
OD00000108,py00000108,card transaction,initial payments,20/01/2015,received,,4842,2421
OD00000109,py00010042,cash transaction,initial payments,09/04/2019,received,,980,490
OD00000109,py00000109,card transaction,initial payments,20/01/2015,received,,980,490
OD00000110,py00029601,cheque,Pay Second,09/04/2019,not received,,792,396
OD00000110,py00000110,cheque,initial payments,20/01/2015,received,,792,396
OD00000111,py00029602,online,Pay Second,09/04/2019,not received,,4900,2450
OD00000111,py00000111,online,initial payments,20/01/2015,received,,4900,2450
OD00000112,py00000112,cash transaction,initial payments,20/01/2015,received,,4509,2254.5
OD00000112,py00029603,cash transaction,Pay Second,09/04/2019,not received,,4509,2254.5
OD00000113,py00010037,online,initial payments,09/04/2019,not received,bank transfer,6010,3005
OD00000113,py00000113,card transaction,initial payments,20/01/2015,received,,6010,3005
OD00000114,py00010039,online,initial payments,09/04/2019,not received,bank transfer,11418,5709
OD00000114,py00000114,online,initial payments,20/01/2015,received,,11418,5709
OD00000115,py00000115,online,initial payments,21/01/2015,received,,4536,2268
OD00000115,py00010041,online,initial payments,09/04/2019,not received,bank transfer,4536,2268
OD00000116,py00000116,cheque,initial payments,21/01/2015,received,,1620,810
OD00000116,py00029605,card transaction,Pay Second,10/04/2019,received,,1620,810
OD00000117,py00000117,card transaction,initial payments,21/01/2015,received,,2812,1406
OD00000117,py00010043,card transaction,initial payments,10/04/2019,received,,2812,1406
OD00000118,py00000118,cash transaction,initial payments,21/01/2015,received,,4842,2421
OD00000118,py00010044,card transaction,initial payments,10/04/2019,received,,4842,2421
OD00000119,py00000119,online,initial payments,21/01/2015,received,,588,294
OD00000119,py00010045,cheque,initial payments,10/04/2019,received,,588,294
OD00000120,py00010046,card transaction,initial payments,10/04/2019,received,,594,297
OD00000120,py00000120,cash transaction,initial payments,21/01/2015,received,,594,297
OD00000121,py00000121,card transaction,initial payments,21/01/2015,received,,6300,3150
OD00000121,py00010047,cheque,initial payments,10/04/2019,received,,6300,3150
OD00000122,py00010049,cheque,initial payments,10/04/2019,received,,4008,2004
OD00000122,py00000122,cash transaction,initial payments,21/01/2015,received,,4008,2004
OD00000123,py00029604,cash transaction,Pay Second,10/04/2019,not received,,10818,5409
OD00000123,py00000123,online,initial payments,22/01/2015,received,,10818,5409
OD00000124,py00000124,cash transaction,initial payments,22/01/2015,received,,13321,6660.5
OD00000124,py00029606,cheque,Pay Second,10/04/2019,not received,,13321,6660.5
OD00000125,py00000125,online,initial payments,22/01/2015,received,,2520,1260
OD00000125,py00029607,card transaction,Pay Second,10/04/2019,not received,,2520,1260
OD00000126,py00010048,online,initial payments,10/04/2019,not received,bank transfer,1215,607.5
OD00000126,py00000126,card transaction,initial payments,22/01/2015,received,,1215,607.5
OD00000127,py00029608,cheque,Pay Second,11/04/2019,received,,11248,5624
OD00000127,py00000127,cheque,initial payments,23/01/2015,received,,11248,5624
OD00000128,py00029610,cheque,Pay Second,11/04/2019,received,,3228,1614
OD00000128,py00000128,cash transaction,initial payments,23/01/2015,received,,3228,1614
OD00000129,py00029614,cheque,Pay Second,11/04/2019,received,,686,343
OD00000129,py00000129,cheque,initial payments,23/01/2015,received,,686,343
OD00000130,py00000130,cheque,initial payments,23/01/2015,received,,495,247.5
OD00000130,py00029615,cash transaction,Pay Second,11/04/2019,received,,495,247.5
OD00000131,py00010050,cheque,initial payments,11/04/2019,received,,4900,2450
OD00000131,py00000131,cash transaction,initial payments,23/01/2015,received,,4900,2450
OD00000132,py00000132,online,initial payments,23/01/2015,received,,2004,1002
OD00000132,py00010053,card transaction,initial payments,11/04/2019,received,,2004,1002
OD00000133,py00010054,card transaction,initial payments,11/04/2019,received,,6010,3005
OD00000133,py00000133,cash transaction,initial payments,23/01/2015,received,,6010,3005
OD00000134,py00010055,cheque,initial payments,11/04/2019,received,,17127,8563.5
OD00000134,py00000134,cash transaction,initial payments,24/01/2015,received,,17127,8563.5
OD00000135,py00010056,cheque,initial payments,11/04/2019,received,,2520,1260
OD00000135,py00000135,cheque,initial payments,24/01/2015,received,,2520,1260
OD00000136,py00000136,card transaction,initial payments,24/01/2015,received,,1620,810
OD00000136,py00029609,card transaction,Pay Second,11/04/2019,not received,,1620,810
OD00000137,py00000137,cash transaction,initial payments,24/01/2015,received,,14060,7030
OD00000137,py00029611,cheque,Pay Second,11/04/2019,not received,,14060,7030
OD00000138,py00000138,online,initial payments,24/01/2015,received,,4035,2017.5
OD00000138,py00029612,card transaction,Pay Second,11/04/2019,not received,,4035,2017.5
OD00000139,py00000139,card transaction,initial payments,24/01/2015,received,,686,343
OD00000139,py00029613,card transaction,Pay Second,11/04/2019,not received,,686,343
OD00000140,py00010051,online,initial payments,11/04/2019,not received,bank transfer,891,445.5
OD00000140,py00000140,card transaction,initial payments,25/01/2015,received,,891,445.5
OD00000141,py00000141,cheque,initial payments,25/01/2015,received,,4200,2100
OD00000141,py00010052,online,initial payments,11/04/2019,not received,bank transfer,4200,2100
OD00000142,py00000142,cheque,initial payments,25/01/2015,received,,3006,1503
OD00000142,py00029616,cheque,Pay Second,12/04/2019,received,,3006,1503
OD00000143,py00029617,cash transaction,Pay Second,12/04/2019,received,,4808,2404
OD00000143,py00000143,cash transaction,initial payments,25/01/2015,received,,4808,2404
OD00000144,py00000144,cash transaction,initial payments,25/01/2015,received,,5709,2854.5
OD00000144,py00010057,card transaction,initial payments,12/04/2019,received,,5709,2854.5
OD00000145,py00000145,cheque,initial payments,25/01/2015,received,,4032,2016
OD00000145,py00010059,online,initial payments,12/04/2019,received,bank transfer,4032,2016
OD00000146,py00010060,cash transaction,initial payments,12/04/2019,received,,2835,1417.5
OD00000146,py00000146,card transaction,initial payments,25/01/2015,received,,2835,1417.5
OD00000147,py00000147,card transaction,initial payments,26/01/2015,received,,8436,4218
OD00000147,py00010061,cash transaction,initial payments,12/04/2019,received,,8436,4218
OD00000148,py00000148,card transaction,initial payments,26/01/2015,received,,5649,2824.5
OD00000148,py00010062,cash transaction,initial payments,12/04/2019,received,,5649,2824.5
OD00000149,py00010058,online,initial payments,12/04/2019,not received,bank transfer,686,343
OD00000149,py00000149,cash transaction,initial payments,26/01/2015,received,,686,343
OD00000150,py00029618,cash transaction,Pay Second,13/04/2019,received,,792,396
OD00000150,py00000150,cash transaction,initial payments,26/01/2015,received,,792,396
OD00000151,py00029619,cash transaction,Pay Second,13/04/2019,received,,2800,1400
OD00000151,py00000151,cheque,initial payments,26/01/2015,received,,2800,1400
OD00000152,py00029622,card transaction,Pay Second,13/04/2019,received,,3006,1503
OD00000152,py00000152,cheque,initial payments,27/01/2015,received,,3006,1503
OD00000153,py00000153,card transaction,initial payments,27/01/2015,received,,9616,4808
OD00000153,py00010063,cheque,initial payments,13/04/2019,received,,9616,4808
OD00000154,py00010064,card transaction,initial payments,13/04/2019,received,,15224,7612
OD00000154,py00000154,cheque,initial payments,27/01/2015,received,,15224,7612
OD00000155,py00000155,cash transaction,initial payments,27/01/2015,received,,4536,2268
OD00000155,py00010065,card transaction,initial payments,13/04/2019,received,,4536,2268
OD00000156,py00010066,cash transaction,initial payments,13/04/2019,received,,3645,1822.5
OD00000156,py00000156,card transaction,initial payments,27/01/2015,received,,3645,1822.5
OD00000157,py00010067,card transaction,initial payments,13/04/2019,received,,9842,4921
OD00000157,py00000157,card transaction,initial payments,27/01/2015,received,,9842,4921
OD00000158,py00000158,cheque,initial payments,27/01/2015,received,,6456,3228
OD00000158,py00029620,online,Pay Second,13/04/2019,not received,,6456,3228
OD00000159,py00029621,card transaction,Pay Second,13/04/2019,not received,,490,245
OD00000159,py00000159,cash transaction,initial payments,27/01/2015,received,,490,245
OD00000160,py00000160,online,initial payments,28/01/2015,received,,396,198
OD00000160,py00029623,online,Pay Second,13/04/2019,not received,,396,198
OD00000161,py00029624,online,Pay Second,13/04/2019,not received,,3500,1750
OD00000161,py00000161,online,initial payments,28/01/2015,received,,3500,1750
OD00000162,py00029632,cheque,Pay Second,14/04/2019,received,,3507,1753.5
OD00000162,py00000162,cash transaction,initial payments,28/01/2015,received,,3507,1753.5
OD00000163,py00010068,cheque,initial payments,14/04/2019,received,,7212,3606
OD00000163,py00000163,cash transaction,initial payments,29/01/2015,received,,7212,3606
OD00000164,py00010071,cash transaction,initial payments,14/04/2019,received,,15224,7612
OD00000164,py00000164,cheque,initial payments,29/01/2015,received,,15224,7612
OD00000165,py00000165,card transaction,initial payments,29/01/2015,received,,4536,2268
OD00000165,py00010072,cash transaction,initial payments,14/04/2019,received,,4536,2268
OD00000166,py00000166,card transaction,initial payments,29/01/2015,received,,2025,1012.5
OD00000166,py00010073,cheque,initial payments,14/04/2019,received,,2025,1012.5
OD00000167,py00029625,card transaction,Pay Second,14/04/2019,not received,,9842,4921
OD00000167,py00000167,card transaction,initial payments,30/01/2015,received,,9842,4921
OD00000168,py00029626,cash transaction,Pay Second,14/04/2019,not received,,3228,1614
OD00000168,py00000168,cash transaction,initial payments,30/01/2015,received,,3228,1614
OD00000169,py00000169,cheque,initial payments,30/01/2015,received,,882,441
OD00000169,py00029627,online,Pay Second,14/04/2019,not received,,882,441
OD00000170,py00029628,online,Pay Second,14/04/2019,not received,,693,346.5
OD00000170,py00000170,card transaction,initial payments,30/01/2015,received,,693,346.5
OD00000171,py00000171,card transaction,initial payments,30/01/2015,received,,4900,2450
OD00000171,py00029629,cash transaction,Pay Second,14/04/2019,not received,,4900,2450
OD00000172,py00000172,cash transaction,initial payments,30/01/2015,received,,2505,1252.5
OD00000172,py00029630,card transaction,Pay Second,14/04/2019,not received,,2505,1252.5
OD00000173,py00029631,cash transaction,Pay Second,14/04/2019,not received,,7212,3606
OD00000173,py00000173,card transaction,initial payments,30/01/2015,received,,7212,3606
OD00000174,py00000174,card transaction,initial payments,31/01/2015,received,,19030,9515
OD00000174,py00029633,cash transaction,Pay Second,14/04/2019,not received,,19030,9515
OD00000175,py00000175,cash transaction,initial payments,31/01/2015,received,,2520,1260
OD00000175,py00010069,online,initial payments,14/04/2019,not received,bank transfer,2520,1260
OD00000176,py00000176,cheque,initial payments,31/01/2015,received,,3240,1620
OD00000176,py00010070,online,initial payments,14/04/2019,not received,bank transfer,3240,1620
OD00000177,py00000177,cheque,initial payments,31/01/2015,received,,5624,2812
OD00000177,py00029635,cash transaction,Pay Second,15/04/2019,received,,5624,2812
