order_id,customer_id,Store_id,Date
OD00000066,c10066,st007,14/01/2015
OD00000067,c10067,st004,14/01/2015
OD00000068,c10068,st005,14/01/2015
OD00000069,c10069,st012,15/01/2015
OD00000070,c10070,st012,15/01/2015
OD00000071,c10071,st010,15/01/2015
OD00000072,c10072,st006,15/01/2015
OD00000073,c10073,st012,15/01/2015
OD00000074,c10074,st004,15/01/2015
OD00000075,c10075,st011,16/01/2015
OD00000076,c10076,st008,16/01/2015
OD00000077,c10077,st002,16/01/2015
OD00000078,c10078,st003,16/01/2015
OD00000079,c10079,st002,16/01/2015
OD00000080,c10080,st007,16/01/2015
OD00000081,c10081,st007,16/01/2015
OD00000082,c10082,st012,16/01/2015
OD00000083,c10083,st004,16/01/2015
OD00000084,c10084,st012,16/01/2015
OD00000085,c10085,st005,16/01/2015
OD00000086,c10086,st011,17/01/2015
OD00000087,c10087,st007,17/01/2015
OD00000088,c10088,st003,17/01/2015
OD00000089,c10089,st004,17/01/2015
OD00000090,c10090,st007,17/01/2015
OD00000091,c10091,st001,18/01/2015
OD00000092,c10092,st005,18/01/2015
OD00000093,c10093,st004,18/01/2015
OD00000094,c10094,st012,18/01/2015
OD00000095,c10095,st004,18/01/2015
OD00000096,c10096,st011,18/01/2015
OD00000097,c10097,st002,18/01/2015
OD00000098,c10098,st005,19/01/2015
OD00000099,c10099,st002,19/01/2015
OD00000100,c10100,st010,19/01/2015
OD00000101,c10101,st008,19/01/2015
OD00000102,c10102,st005,20/01/2015
OD00000103,c10103,st011,20/01/2015
OD00000104,c10104,st006,20/01/2015
OD00000105,c10105,st011,20/01/2015
OD00000106,c10106,st004,20/01/2015
OD00000107,c10107,st003,20/01/2015
OD00000108,c10108,st012,20/01/2015
OD00000109,c10109,st005,20/01/2015
OD00000110,c10110,st004,20/01/2015
OD00000111,c10111,st012,20/01/2015
OD00000112,c10112,st010,20/01/2015
OD00000113,c10113,st001,20/01/2015
OD00000114,c10114,st001,20/01/2015
OD00000115,c10115,st010,21/01/2015
OD00000116,c10116,st007,21/01/2015
OD00000117,c10117,st011,21/01/2015
OD00000118,c10118,st002,21/01/2015
OD00000119,c10119,st004,21/01/2015
OD00000120,c10120,st012,21/01/2015
OD00000121,c10121,st009,21/01/2015
OD00000122,c10122,st009,21/01/2015
OD00000123,c10123,st008,22/01/2015
OD00000124,c10124,st005,22/01/2015
OD00000125,c10125,st005,22/01/2015
OD00000126,c10126,st004,22/01/2015
OD00000127,c10127,st012,23/01/2015
OD00000128,c10128,st002,23/01/2015
OD00000129,c10129,st006,23/01/2015
OD00000130,c10130,st011,23/01/2015
OD00000131,c10131,st004,23/01/2015
OD00000132,c10132,st004,23/01/2015
OD00000133,c10133,st009,23/01/2015
OD00000134,c10134,st010,24/01/2015
OD00000135,c10135,st003,24/01/2015
OD00000136,c10136,st005,24/01/2015
OD00000137,c10137,st003,24/01/2015
OD00000138,c10138,st010,24/01/2015
OD00000139,c10139,st012,24/01/2015
OD00000140,c10140,st007,25/01/2015
OD00000141,c10141,st009,25/01/2015
OD00000142,c10142,st006,25/01/2015
OD00000143,c10143,st009,25/01/2015
OD00000144,c10144,st001,25/01/2015
OD00000145,c10145,st008,25/01/2015
OD00000146,c10146,st002,25/01/2015
OD00000147,c10147,st006,26/01/2015
OD00000148,c10148,st008,26/01/2015
OD00000149,c10149,st010,26/01/2015
OD00000150,c10150,st003,26/01/2015
OD00000151,c10151,st002,26/01/2015
OD00000152,c10152,st001,27/01/2015
OD00000153,c10153,st011,27/01/2015
OD00000154,c10154,st009,27/01/2015
OD00000155,c10155,st002,27/01/2015
OD00000156,c10156,st004,27/01/2015
OD00000157,c10157,st009,27/01/2015
OD00000158,c10158,st011,27/01/2015
OD00000159,c10159,st001,27/01/2015
OD00000160,c10160,st001,28/01/2015
OD00000161,c10161,st002,28/01/2015
OD00000162,c10162,st006,28/01/2015
OD00000163,c10163,st002,29/01/2015
OD00000164,c10164,st012,29/01/2015
OD00000165,c10165,st006,29/01/2015
OD00000166,c10166,st005,29/01/2015
OD00000167,c10167,st001,30/01/2015
OD00000168,c10168,st007,30/01/2015
OD00000169,c10169,st004,30/01/2015
OD00000170,c10170,st010,30/01/2015
OD00000171,c10171,st002,30/01/2015
OD00000172,c10172,st003,30/01/2015
OD00000173,c10173,st006,30/01/2015
OD00000174,c10174,st006,31/01/2015
OD00000175,c10175,st007,31/01/2015
OD00000176,c10176,st003,31/01/2015
OD00000177,c10177,st006,31/01/2015
OD00000178,c10178,st010,31/01/2015
OD00000179,c10179,st001,31/01/2015
OD00000180,c10180,st007,31/01/2015
OD00000181,c10181,st002,01/02/2015
OD00000182,c10182,st007,01/02/2015
OD00000183,c10183,st008,01/02/2015
OD00000184,c10184,st009,01/02/2015
OD00000185,c10185,st011,01/02/2015
OD00000186,c10186,st003,01/02/2015
OD00000187,c10187,st002,01/02/2015
OD00000188,c10188,st003,02/02/2015
OD00000189,c10189,st012,02/02/2015
OD00000190,c10190,st005,02/02/2015
OD00000191,c10191,st009,02/02/2015
OD00000192,c10192,st003,02/02/2015
OD00000193,c10193,st003,03/02/2015
OD00000194,c10194,st007,03/02/2015
OD00000195,c10195,st003,03/02/2015
OD00000196,c10196,st002,03/02/2015
OD00000197,c10197,st010,03/02/2015
OD00000198,c10198,st007,03/02/2015
OD00000199,c10199,st008,03/02/2015
OD00000200,c10200,st003,03/02/2015
OD00000201,c10201,st009,03/02/2015
OD00000202,c10202,st008,04/02/2015
OD00000203,c10203,st011,04/02/2015
OD00000204,c10204,st009,04/02/2015
OD00000205,c10205,st010,04/02/2015
OD00000206,c10206,st004,04/02/2015
OD00000207,c10207,st007,04/02/2015
OD00000208,c10208,st008,04/02/2015
OD00000209,c10209,st009,04/02/2015
OD00000210,c10210,st007,04/02/2015
OD00000211,c10211,st007,05/02/2015
OD00000212,c10212,st001,05/02/2015
OD00000213,c10213,st002,05/02/2015
OD00000214,c10214,st012,05/02/2015
OD00000215,c10215,st008,05/02/2015
OD00000216,c10216,st007,05/02/2015
OD00000217,c10217,st002,06/02/2015
OD00000218,c10218,st012,06/02/2015
OD00000219,c10219,st012,06/02/2015
OD00000220,c10220,st011,06/02/2015
OD00000221,c10221,st005,06/02/2015
OD00000222,c10222,st004,06/02/2015
OD00000223,c10223,st004,06/02/2015
OD00000224,c10224,st008,07/02/2015
OD00000225,c10225,st003,07/02/2015
OD00000226,c10226,st001,07/02/2015
OD00000227,c10227,st005,07/02/2015
OD00000228,c10228,st003,07/02/2015
OD00000229,c10229,st011,07/02/2015
OD00000230,c10230,st011,07/02/2015
OD00000231,c10231,st007,07/02/2015
OD00000232,c10232,st012,07/02/2015
OD00000233,c10233,st001,07/02/2015
OD00000234,c10234,st007,08/02/2015
OD00000235,c10235,st004,08/02/2015
OD00000236,c10236,st004,08/02/2015
OD00000237,c10237,st009,09/02/2015
OD00000238,c10238,st005,09/02/2015
OD00000239,c10239,st008,09/02/2015
OD00000240,c10240,st005,09/02/2015
OD00000241,c10241,st007,09/02/2015
OD00000242,c10242,st009,09/02/2015
OD00000243,c10243,st002,10/02/2015
OD00000244,c10244,st003,10/02/2015
OD00000245,c10245,st006,10/02/2015
OD00000246,c10246,st011,11/02/2015
OD00000247,c10247,st012,11/02/2015
OD00000248,c10248,st007,11/02/2015
OD00000249,c10249,st004,11/02/2015
OD00000250,c10250,st010,11/02/2015
OD00000251,c10251,st008,11/02/2015
OD00000252,c10252,st012,12/02/2015
OD00000253,c10253,st007,12/02/2015
OD00000254,c10254,st010,12/02/2015
OD00000255,c10255,st010,12/02/2015
OD00000256,c10256,st003,12/02/2015
OD00000257,c10257,st004,12/02/2015
OD00000258,c10258,st010,12/02/2015
OD00000259,c10259,st003,12/02/2015
OD00000260,c10260,st005,13/02/2015
OD00000261,c10261,st012,13/02/2015
OD00000262,c10262,st001,13/02/2015
OD00000263,c10263,st004,13/02/2015
OD00000264,c10264,st001,13/02/2015
OD00000265,c10265,st003,13/02/2015
OD00000266,c10266,st003,14/02/2015
OD00000267,c10267,st003,14/02/2015
OD00000268,c10268,st002,14/02/2015
OD00000269,c10269,st003,14/02/2015
OD00000270,c10270,st011,14/02/2015
OD00000271,c10271,st012,14/02/2015
OD00000272,c10272,st005,15/02/2015
OD00000273,c10273,st006,15/02/2015
OD00000274,c10274,st009,15/02/2015
OD00000275,c10275,st002,15/02/2015
OD00000276,c10276,st001,15/02/2015
OD00000277,c10277,st002,16/02/2015
OD00000278,c10278,st009,16/02/2015
OD00000279,c10279,st010,16/02/2015
OD00000280,c10280,st012,16/02/2015
OD00000281,c10281,st002,16/02/2015
OD00000282,c10282,st001,16/02/2015
OD00000283,c10283,st011,16/02/2015
OD00000284,c10284,st001,16/02/2015
OD00000285,c10285,st012,17/02/2015
OD00000286,c10286,st002,17/02/2015
OD00000287,c10287,st005,17/02/2015
OD00000288,c10288,st001,17/02/2015
OD00000289,c10289,st002,17/02/2015
OD00000290,c10290,st004,17/02/2015
OD00000291,c10291,st012,17/02/2015
OD00000292,c10292,st010,18/02/2015
OD00000293,c10293,st011,18/02/2015
OD00000294,c10294,st007,18/02/2015
OD00000295,c10295,st009,18/02/2015
OD00000296,c10296,st003,18/02/2015
OD00000297,c10297,st005,19/02/2015
OD00000298,c10298,st010,19/02/2015
OD00000299,c10299,st007,19/02/2015
OD00000300,c10300,st006,19/02/2015
OD00000301,c10301,st007,19/02/2015
OD00000302,c10302,st007,19/02/2015
OD00000303,c10303,st005,20/02/2015
OD00000304,c10304,st008,20/02/2015
OD00000305,c10305,st004,20/02/2015
OD00000306,c10306,st001,20/02/2015
OD00000307,c10307,st009,20/02/2015
OD00000308,c10308,st011,21/02/2015
OD00000309,c10309,st012,21/02/2015
OD00000310,c10310,st004,21/02/2015
OD00000311,c10311,st005,21/02/2015
OD00000312,c10312,st004,21/02/2015
OD00000313,c10313,st003,21/02/2015
OD00000314,c10314,st005,21/02/2015
OD00000315,c10315,st006,21/02/2015
OD00000316,c10316,st003,21/02/2015
OD00000317,c10317,st008,21/02/2015
OD00000318,c10318,st009,22/02/2015
OD00000319,c10319,st004,22/02/2015
OD00000320,c10320,st008,22/02/2015
OD00000321,c10321,st005,22/02/2015
OD00000322,c10322,st011,22/02/2015
OD00000323,c10323,st002,22/02/2015
OD00000324,c10324,st009,22/02/2015
OD00000325,c10325,st001,22/02/2015
OD00000326,c10326,st002,22/02/2015
OD00000327,c10327,st007,23/02/2015
OD00000328,c10328,st003,23/02/2015
OD00000329,c10329,st011,23/02/2015
OD00000330,c10330,st012,23/02/2015
OD00000331,c10331,st004,23/02/2015
OD00000332,c10332,st008,24/02/2015
OD00000333,c10333,st012,24/02/2015
OD00000334,c10334,st012,24/02/2015
OD00000335,c10335,st011,24/02/2015
OD00000336,c10336,st011,24/02/2015
OD00000337,c10337,st001,24/02/2015
OD00000338,c10338,st006,24/02/2015
OD00000339,c10339,st010,25/02/2015
OD00000340,c10340,st006,25/02/2015
OD00000341,c10341,st008,25/02/2015
OD00000342,c10342,st005,25/02/2015
OD00000343,c10343,st004,25/02/2015
OD00000344,c10344,st001,25/02/2015
OD00000345,c10345,st002,26/02/2015
OD00000346,c10346,st002,26/02/2015
OD00000347,c10347,st002,26/02/2015
OD00000348,c10348,st009,26/02/2015
OD00000349,c10349,st001,27/02/2015
OD00000350,c10350,st007,27/02/2015
OD00000351,c10351,st002,27/02/2015
OD00000352,c10352,st012,27/02/2015
OD00000353,c10353,st001,27/02/2015
OD00000354,c10354,st003,27/02/2015
OD00000355,c10355,st001,27/02/2015
OD00000356,c10356,st003,27/02/2015
OD00000357,c10357,st005,27/02/2015
OD00000358,c10358,st004,27/02/2015
OD00000359,c10359,st007,27/02/2015
OD00000360,c10360,st002,27/02/2015
OD00000361,c10361,st005,28/02/2015
OD00000362,c10362,st004,28/02/2015
OD00000363,c10363,st008,28/02/2015
OD00000364,c10364,st010,28/02/2015
OD00000365,c10365,st007,28/02/2015
OD00000366,c10366,st001,28/02/2015
OD00000367,c10367,st009,28/02/2015
OD00000368,c10368,st001,01/03/2015
OD00000369,c10369,st004,01/03/2015
OD00000370,c10370,st009,01/03/2015
OD00000371,c10371,st007,01/03/2015
OD00000372,c10372,st012,01/03/2015
OD00000373,c10373,st001,01/03/2015
OD00000374,c10374,st005,02/03/2015
OD00000375,c10375,st011,02/03/2015
OD00000376,c10376,st004,02/03/2015
OD00000377,c10377,st005,02/03/2015
OD00000378,c10378,st012,02/03/2015
OD00000379,c10379,st008,02/03/2015
OD00000380,c10380,st003,02/03/2015
OD00000381,c10381,st006,03/03/2015
OD00000382,c10382,st003,03/03/2015
OD00000383,c10383,st003,03/03/2015
OD00000384,c10384,st003,03/03/2015
OD00000385,c10385,st010,03/03/2015
OD00000386,c10386,st007,03/03/2015
OD00000387,c10387,st003,03/03/2015
OD00000388,c10388,st002,03/03/2015
OD00000389,c10389,st003,03/03/2015
OD00000390,c10390,st011,04/03/2015
OD00000391,c10391,st012,04/03/2015
OD00000392,c10392,st002,04/03/2015
OD00000393,c10393,st008,05/03/2015
OD00000394,c10394,st004,05/03/2015
OD00000395,c10395,st004,05/03/2015
OD00000396,c10396,st003,05/03/2015
OD00000397,c10397,st005,05/03/2015
OD00000398,c10398,st012,05/03/2015
OD00000399,c10399,st009,05/03/2015
OD00000400,c10400,st006,05/03/2015
OD00000401,c10401,st009,05/03/2015
OD00000402,c10402,st009,05/03/2015
OD00000403,c10403,st010,05/03/2015
OD00000404,c10404,st005,06/03/2015
OD00000405,c10405,st005,06/03/2015
OD00000406,c10406,st009,06/03/2015
OD00000407,c10407,st009,06/03/2015
OD00000408,c10408,st004,06/03/2015
OD00000409,c10409,st005,06/03/2015
OD00000410,c10410,st005,06/03/2015
OD00000411,c10411,st002,07/03/2015
OD00000412,c10412,st007,07/03/2015
OD00000413,c10413,st002,07/03/2015
OD00000414,c10414,st002,07/03/2015
OD00000415,c10415,st012,07/03/2015
OD00000416,c10416,st005,08/03/2015
OD00000417,c10417,st009,08/03/2015
OD00000418,c10418,st009,08/03/2015
OD00000419,c10419,st003,08/03/2015
OD00000420,c10420,st007,08/03/2015
OD00000421,c10421,st009,08/03/2015
OD00000422,c10422,st004,08/03/2015
OD00000423,c10423,st010,08/03/2015
OD00000424,c10424,st011,08/03/2015
OD00000425,c10425,st010,09/03/2015
OD00000426,c10426,st010,09/03/2015
OD00000427,c10427,st011,09/03/2015
OD00000428,c10428,st007,09/03/2015
OD00000429,c10429,st006,09/03/2015
OD00000430,c10430,st010,09/03/2015
OD00000431,c10431,st005,09/03/2015
OD00000432,c10432,st002,09/03/2015
OD00000433,c10433,st003,09/03/2015
OD00000434,c10434,st006,09/03/2015
OD00000435,c10435,st009,10/03/2015
OD00000436,c10436,st004,10/03/2015
OD00000437,c10437,st003,10/03/2015
OD00000438,c10438,st011,10/03/2015
OD00000439,c10439,st001,10/03/2015
OD00000440,c10440,st005,10/03/2015
OD00000441,c10441,st006,10/03/2015
OD00000442,c10442,st011,10/03/2015
OD00000443,c10443,st001,10/03/2015
OD00000444,c10444,st001,10/03/2015
OD00000445,c10445,st007,10/03/2015
OD00000446,c10446,st010,10/03/2015
OD00000447,c10447,st007,11/03/2015
OD00000448,c10448,st011,11/03/2015
OD00000449,c10449,st001,11/03/2015
OD00000450,c10450,st004,11/03/2015
OD00000451,c10451,st005,11/03/2015
OD00000452,c10452,st001,11/03/2015
OD00000453,c10453,st012,12/03/2015
OD00000454,c10454,st004,12/03/2015
OD00000455,c10455,st002,12/03/2015
OD00000456,c10456,st005,13/03/2015
OD00000457,c10457,st010,13/03/2015
OD00000458,c10458,st011,13/03/2015
OD00000459,c10459,st006,13/03/2015
OD00000460,c10460,st011,13/03/2015
OD00000461,c10461,st012,13/03/2015
OD00000462,c10462,st008,13/03/2015
OD00000463,c10463,st003,13/03/2015
OD00000464,c10464,st008,13/03/2015
OD00000465,c10465,st003,13/03/2015
OD00000466,c10466,st006,13/03/2015
OD00000467,c10467,st009,14/03/2015
OD00000468,c10468,st002,14/03/2015
OD00000469,c10469,st002,14/03/2015
OD00000470,c10470,st001,15/03/2015
OD00000471,c10471,st009,15/03/2015
OD00000472,c10472,st011,15/03/2015
OD00000473,c10473,st011,15/03/2015
OD00000474,c10474,st003,15/03/2015
OD00000475,c10475,st001,16/03/2015
OD00000476,c10476,st012,16/03/2015
OD00000477,c10477,st012,16/03/2015
OD00000478,c10478,st003,16/03/2015
OD00000479,c10479,st002,16/03/2015
OD00000480,c10480,st010,16/03/2015
OD00000481,c10481,st009,16/03/2015
OD00000482,c10482,st001,16/03/2015
OD00000483,c10483,st001,16/03/2015
OD00000484,c10484,st011,17/03/2015
OD00000485,c10485,st003,17/03/2015
OD00000486,c10486,st006,17/03/2015
OD00000487,c10487,st008,17/03/2015
OD00000488,c10488,st006,17/03/2015
OD00000489,c10489,st007,17/03/2015
OD00000490,c10490,st006,18/03/2015
OD00000491,c10491,st007,18/03/2015
OD00000492,c10492,st012,18/03/2015
OD00000493,c10493,st007,18/03/2015
OD00000494,c10494,st002,18/03/2015
OD00000495,c10495,st010,18/03/2015
OD00000496,c10496,st007,19/03/2015
OD00000497,c10497,st004,19/03/2015
OD00000498,c10498,st003,20/03/2015
OD00000499,c10499,st003,20/03/2015
OD00000500,c10500,st005,20/03/2015
OD00000501,c10501,st005,20/03/2015
OD00000502,c10502,st004,20/03/2015
OD00000503,c10503,st004,20/03/2015
OD00000504,c10504,st003,20/03/2015
OD00000505,c10505,st009,20/03/2015
OD00000506,c10506,st002,21/03/2015
OD00000507,c10507,st010,21/03/2015
OD00000508,c10508,st010,21/03/2015
OD00000509,c10509,st006,21/03/2015
OD00000510,c10510,st004,21/03/2015
OD00000511,c10511,st012,21/03/2015
OD00000512,c10512,st007,21/03/2015
OD00000513,c10513,st004,21/03/2015
OD00000514,c10514,st002,21/03/2015
OD00000515,c10515,st005,21/03/2015
OD00000516,c10516,st003,22/03/2015
OD00000517,c10517,st010,22/03/2015
OD00000518,c10518,st003,22/03/2015
OD00000519,c10519,st009,22/03/2015
OD00000520,c10520,st001,22/03/2015
OD00000521,c10521,st012,22/03/2015
OD00000522,c10522,st003,22/03/2015
OD00000523,c10523,st005,23/03/2015
OD00000524,c10524,st011,23/03/2015
OD00000525,c10525,st006,23/03/2015
OD00000526,c10526,st009,23/03/2015
OD00000527,c10527,st012,23/03/2015
OD00000528,c10528,st010,23/03/2015
OD00000529,c10529,st006,23/03/2015
OD00000530,c10530,st005,23/03/2015
OD00000531,c10531,st002,23/03/2015
OD00000532,c10532,st007,23/03/2015
OD00000533,c10533,st008,23/03/2015
OD00000534,c10534,st001,23/03/2015
OD00000535,c10535,st003,23/03/2015
OD00000536,c10536,st001,23/03/2015
OD00000537,c10537,st004,23/03/2015
OD00000538,c10538,st004,24/03/2015
OD00000539,c10539,st009,24/03/2015
OD00000540,c10540,st004,24/03/2015
OD00000541,c10541,st002,24/03/2015
OD00000542,c10542,st001,24/03/2015
OD00000543,c10543,st011,24/03/2015
OD00000544,c10544,st010,24/03/2015
OD00000545,c10545,st005,24/03/2015
OD00000546,c10546,st011,24/03/2015
OD00000547,c10547,st012,24/03/2015
OD00000548,c10548,st001,24/03/2015
OD00000549,c10549,st010,24/03/2015
OD00000550,c10550,st003,25/03/2015
OD00000551,c10551,st005,25/03/2015
OD00000552,c10552,st007,25/03/2015
OD00000553,c10553,st004,25/03/2015
OD00000554,c10554,st001,25/03/2015
OD00000555,c10555,st005,25/03/2015
OD00000556,c10556,st009,25/03/2015
OD00000557,c10557,st003,25/03/2015
OD00000558,c10558,st001,25/03/2015
OD00000559,c10559,st001,26/03/2015
OD00000560,c10560,st006,26/03/2015
OD00000561,c10561,st005,26/03/2015
OD00000562,c10562,st008,26/03/2015
OD00000563,c10563,st011,26/03/2015
OD00000564,c10564,st011,26/03/2015
OD00000565,c10565,st007,26/03/2015
OD00000566,c10566,st003,27/03/2015
OD00000567,c10567,st010,27/03/2015
OD00000568,c10568,st008,27/03/2015
OD00000569,c10569,st004,27/03/2015
OD00000570,c10570,st010,27/03/2015
OD00000571,c10571,st005,27/03/2015
OD00000572,c10572,st003,28/03/2015
OD00000573,c10573,st011,28/03/2015
OD00000574,c10574,st005,28/03/2015
OD00000575,c10575,st002,28/03/2015
OD00000576,c10576,st002,28/03/2015
OD00000577,c10577,st003,28/03/2015
OD00000578,c10578,st006,28/03/2015
OD00000579,c10579,st010,28/03/2015
OD00000580,c10580,st009,28/03/2015
OD00000581,c10581,st005,28/03/2015
OD00000582,c10582,st012,29/03/2015
OD00000583,c10583,st010,29/03/2015
OD00000584,c10584,st003,29/03/2015
OD00000585,c10585,st001,29/03/2015
OD00000586,c10586,st008,29/03/2015
OD00000587,c10587,st009,29/03/2015
OD00000588,c10588,st008,29/03/2015
OD00000589,c10589,st004,29/03/2015
OD00000590,c10590,st012,30/03/2015
OD00000591,c10591,st003,30/03/2015
OD00000592,c10592,st009,30/03/2015
OD00000593,c10593,st010,30/03/2015
OD00000594,c10594,st002,30/03/2015
OD00000595,c10595,st004,30/03/2015
OD00000596,c10596,st004,30/03/2015
OD00000597,c10597,st012,31/03/2015
OD00000598,c10598,st012,01/04/2015
OD00000599,c10599,st006,01/04/2015
OD00000600,c10600,st001,01/04/2015
OD00000601,c10601,st001,01/04/2015
OD00000602,c10602,st006,01/04/2015
OD00000603,c10603,st007,01/04/2015
OD00000604,c10604,st004,01/04/2015
OD00000605,c10605,st007,01/04/2015
OD00000606,c10606,st005,01/04/2015
OD00000607,c10607,st012,02/04/2015
OD00000608,c10608,st002,02/04/2015
OD00000609,c10609,st008,02/04/2015
OD00000610,c10610,st010,02/04/2015
OD00000611,c10611,st012,02/04/2015
OD00000612,c10612,st012,02/04/2015
OD00000613,c10613,st009,03/04/2015
OD00000614,c10614,st012,03/04/2015
OD00000615,c10615,st006,03/04/2015
OD00000616,c10616,st005,04/04/2015
OD00000617,c10617,st005,04/04/2015
OD00000618,c10618,st009,04/04/2015
OD00000619,c10619,st007,04/04/2015
OD00000620,c10620,st009,04/04/2015
OD00000621,c10621,st006,04/04/2015
OD00000622,c10622,st011,05/04/2015
OD00000623,c10623,st010,05/04/2015
OD00000624,c10624,st010,05/04/2015
OD00000625,c10625,st011,05/04/2015
OD00000626,c10626,st007,05/04/2015
OD00000627,c10627,st010,05/04/2015
OD00000628,c10628,st003,06/04/2015
OD00000629,c10629,st010,06/04/2015
OD00000630,c10630,st001,06/04/2015
OD00000631,c10631,st004,06/04/2015
OD00000632,c10632,st005,06/04/2015
OD00000633,c10633,st009,07/04/2015
OD00000634,c10634,st012,07/04/2015
OD00000635,c10635,st002,07/04/2015
OD00000636,c10636,st012,07/04/2015
OD00000637,c10637,st004,07/04/2015
OD00000638,c10638,st012,07/04/2015
OD00000639,c10639,st008,07/04/2015
OD00000640,c10640,st001,07/04/2015
OD00000641,c10641,st005,07/04/2015
OD00000642,c10642,st006,07/04/2015
OD00000643,c10643,st008,08/04/2015
OD00000644,c10644,st006,08/04/2015
OD00000645,c10645,st012,08/04/2015
OD00000646,c10646,st006,08/04/2015
OD00000647,c10647,st010,09/04/2015
OD00000648,c10648,st009,09/04/2015
OD00000649,c10649,st004,09/04/2015
OD00000650,c10650,st010,09/04/2015
OD00000651,c10651,st006,09/04/2015
OD00000652,c10652,st006,09/04/2015
OD00000653,c10653,st007,09/04/2015
OD00000654,c10654,st009,09/04/2015
OD00000655,c10655,st005,09/04/2015
OD00000656,c10656,st012,09/04/2015
OD00000657,c10657,st010,10/04/2015
OD00000658,c10658,st010,10/04/2015
OD00000659,c10659,st006,10/04/2015
OD00000660,c10660,st005,10/04/2015
OD00000661,c10661,st005,10/04/2015
OD00000662,c10662,st003,11/04/2015
OD00000663,c10663,st012,11/04/2015
OD00000664,c10664,st012,11/04/2015
OD00000665,c10665,st002,11/04/2015
OD00000666,c10666,st010,11/04/2015
OD00000667,c10667,st008,11/04/2015
OD00000668,c10668,st005,11/04/2015
OD00000669,c10669,st006,12/04/2015
OD00000670,c10670,st010,12/04/2015
OD00000671,c10671,st010,12/04/2015
OD00000672,c10672,st008,12/04/2015
OD00000673,c10673,st009,12/04/2015
OD00000674,c10674,st006,12/04/2015
OD00000675,c10675,st001,12/04/2015
OD00000676,c10676,st012,12/04/2015
OD00000677,c10677,st010,12/04/2015
OD00000678,c10678,st010,12/04/2015
OD00000679,c10679,st012,13/04/2015
OD00000680,c10680,st010,13/04/2015
OD00000681,c10681,st003,13/04/2015
OD00000682,c10682,st011,13/04/2015
OD00000683,c10683,st003,13/04/2015
OD00000684,c10684,st001,13/04/2015
OD00000685,c10685,st004,13/04/2015
OD00000686,c10686,st006,13/04/2015
OD00000687,c10687,st009,13/04/2015
OD00000688,c10688,st012,14/04/2015
OD00000689,c10689,st007,14/04/2015
OD00000690,c10690,st008,14/04/2015
OD00000691,c10691,st007,14/04/2015
OD00000692,c10692,st010,14/04/2015
OD00000693,c10693,st007,14/04/2015
OD00000694,c10694,st005,14/04/2015
OD00000695,c10695,st002,14/04/2015
OD00000696,c10696,st005,14/04/2015
OD00000697,c10697,st003,15/04/2015
OD00000698,c10698,st003,15/04/2015
